Order ID,Order Date,Product,Category,Region,Customer Segment,Sales Channel,Quantity,Unit Price,Discount,Sales,Cost,Profit
ORD-10001,2025-10-16,Webcam,Technology,North,Consumer,Online,1,113.75,0.05,99.42,59.24,40.18
ORD-10002,2024-02-02,Monitor,Technology,East,Consumer,Online,1,287.0,0.05,286.28,169.22,117.06
ORD-10003,2025-08-26,Laptop,Technology,East,Corporate,Online,1,1002.94,0,1053.09,611.63,441.46
ORD-10004,2024-04-09,Printer Paper,Office Supplies,West,Consumer,Online,8,15.2,0.2,107.01,56.36,50.65
ORD-10005,2025-07-19,Webcam,Technology,West,Small Business,Online,1,106.37,0.1,115.84,59.98,55.86
ORD-10006,2024-03-22,Laptop Stand,Accessories,North-East,Consumer,Retail Store,6,43.93,0.05,250.4,123.23,127.17
ORD-10007,2025-12-19,Laptop Stand,Accessories,West,Corporate,Retail Store,5,43.94,0.05,286.98,104.93,182.05
ORD-10008,2025-10-17,Standing Desk,Furniture,North,Small Business,Retail Store,1,500.87,0,460.8,309.61,151.19
ORD-10009,2024-08-04,Backpack,Accessories,North,Consumer,Retail Store,8,82.81,0,609.48,313.77,295.71
ORD-10010,2025-07-05,Headset,Technology,North-East,Small Business,Online,1,100.68,0.05,105.21,44.39,60.82
ORD-10011,2024-02-18,USB-C Hub,Accessories,East,Corporate,Online,3,64.9,0.1,183.99,91.15,92.84
ORD-10012,2024-09-14,Laptop Stand,Accessories,Central,Corporate,Retail Store,7,46.66,0.05,366.14,140.08,226.06
ORD-10013,2024-06-10,File Folder Pack,Office Supplies,North,Small Business,Retail Store,2,20.94,0,38.53,18.45,20.08
ORD-10014,2025-09-15,Keyboard,Technology,East,Corporate,Retail Store,1,72.0,0,75.6,37.29,38.31
ORD-10015,2025-01-06,Phone Charger,Accessories,East,Consumer,B2B Sales,2,29.06,0.05,57.97,23.64,34.33
ORD-10016,2025-06-29,Standing Desk,Furniture,North-East,Small Business,Online,1,530.74,0.2,424.59,323.96,100.63
ORD-10017,2025-12-07,Keyboard,Technology,North-East,Small Business,Retail Store,1,75.88,0,94.85,37.84,57.01
ORD-10018,2024-12-12,Headset,Technology,East,Corporate,Online,3,91.76,0,361.31,132.6,228.71
ORD-10019,2024-12-04,Monitor,Technology,North,Corporate,Online,1,294.99,0.05,322.28,172.22,150.06
ORD-10020,2025-04-29,Standing Desk,Furniture,Central,Consumer,Online,1,523.49,0.1,555.95,318.41,237.54
ORD-10021,2025-10-23,Mouse,Technology,North,Small Business,Online,1,40.55,0,37.31,17.87,19.44
